"path","type","side","management","sha1","sha512","project_id","version_id","metadata_file","note"
"mods/comforts-fabric-9.0.4+1.21.1.jar","mod","both","modrinth","824926718c6fca399efc8635e108e01927ea0d98","095d6f795722408fe8e6a7eef7bc27f0c52fd445ab33fe85e210f434eabe2b094140004a6be127e5e01abe7b0af66be0cd27e54000c91ce7a30b9c780771e898","SaCpeal4","lsjaY4WO","mods/comforts.pw.toml",""
"mods/connectiblechains-2.5.7+1.21.1.jar","mod","both","modrinth","ad08f0f3a6c6cc1891dc6fce385c41ac9af4046c","cc07ecea73147645a8a61f85a0d50ae0c090ecd58ad083f8d4bb187fc722c4bca15d63f7ffb084cf1c9cb88c39c214615dfb2577f1b624f83fef3d854ca30bba","ykSfIgTw","bix8ndct","mods/connectiblechains.pw.toml",""
"mods/continuity-3.0.0+1.21.jar","mod","client","modrinth","c7f09b53512604c2ba6803b1247bc70e4d0f8f8c","3601ddb50f19142c087d32525bc0afcfb5f49a2e7477b6645a98ec191218739fdf3c6ac95cd298e826eb34fc533af43bb0e78c64e51292866ecabade4d14b13a","1IjD5062","kSPJ4hQv","mods/continuity.pw.toml",""
"mods/controlify-2.5.2+1.21.1-fabric.jar","mod","both","modrinth","41eb97740fa6a99a118660d930945e193ed1d5e7","40ca94f3afbff80f0d7c62dbf473069bfe7b26c9f97ae89ca2986107a28d629b65546386644b86cd810b34c5b8bf7bf306bbbdc44dd5cbae8af5c4c8cc7f6f57","DOUdJVEm","SOC97nzs","mods/controlify.pw.toml",""
"mods/coroutil-fabric-1.21.1-1.3.8.jar","mod","both","modrinth","1bb71c0df6959b06915d6d62b8040aa0892f08ae","8fe6c7bc6ddf5e5b29fb0975bb8ba56f9c24330ddf1ce7d82b43400181a5a7ad24cde40e69b9b509d36c11839d37b360cfe531996e751cdd4f1e740cd67991b1","rLLJ1OZM","U0NUocji","mods/coroutil.pw.toml",""
"mods/CrashAssistant-fabric-1.19-1.21.4-1.10.28.jar","mod","client","modrinth","57f20f6d94ad7cad76090a8d33b489f907b39136","f07c99a759573f1536e95d6f88a8c64923474e3566703365022e0839fea9163bce6870ae7420932ab67aeee2d8b785abbb16ba2bc3d7e58dc86865f997e5d85e","ix1qq8Ux","IuxHAW1f","mods/crash-assistant.pw.toml",""
"mods/cratedelight-25.09.22-1.21-fabric.jar","mod","both","modrinth","d1135b23f191e6bc3cea628af8a5427121ffa2bc","135bbf3a66b7e93e4788c9c1613dd6c82b3a4a0ce431f1ece5bd24cca07b80b6db0a90ac8c71c7ff46423bcb204ff31057849d78d2129f874d17389b886315ea","9rlXSyLg","elNrtwZk","mods/cratedelight.pw.toml",""
"mods/CraterLib-Fabric-1.21-3.0.1.jar","mod","both","modrinth","2b8c8f5e569922c2c67451311fbfaf6850f672a9","152b447802177f42b6855efd7103595f9c006519bd7467bb70f733f95c413a66d6b1bdaf58254eab47c3ffc0c476e552f273535609590835b5cbcb4320aa9d8b","Nn8Wasaq","pAI9670M","mods/craterlib.pw.toml",""
"mods/CreativeCore_FABRIC_v2.13.24_mc1.21.1.jar","mod","client","modrinth","a54bde57488f2985ed2175910905588c73be07e3","4d870175d5d52a04dbcb6ae9bb66196c323d3bb6a75af09c3b7f2709962dacb4471d4daafbe8fd2bfa95fee671f2fb8fec7ed36d8959a91cc219ebde154f0c84","OsZiaDHq","3ZRFwsQm","mods/creativecore.pw.toml",""
"mods/cristellib-fabric-1.21.1-3.0.2.jar","mod","both","modrinth","454635bbbafb9141f426c3a2377101ea71d1e940","7986c76f9a411a961438cf240f3aaa479f59e24ff10084447ac41d03ffae4bbb0a8679c7a60246e92fa2c590defd6bed681f9fd0ea10d01d169a95bc5c02cc9b","cl223EMc","oFrnFrNm","mods/cristellib.pw.toml",""
"mods/critical_strike-fabric-1.0.4+1.21.1.jar","mod","both","modrinth","dc6aa4eed5d9478b3e33fb0d6ff8a6fcb4a6e997","4fd5ccb380cba23b48fa4985b28178d6941a3670b6328a981ebbccb568a3286ca4bcb5fd245b5114857ca084d0532adfdfa4e23fae134ccaa59c0fcbe7ebab84","ilvNBzFn","8Ci3W6fL","mods/critical-strike.pw.toml",""
